B.Code,F.Level.Name,F.Type,F.Type2,F.Amount,F.Amount_raw,F.I.Unit,F.Unit,F.Unit_raw,F.NPK,F.N,F.P,F.K,F.NI,N_sum,F.PI,F.P2O5,P_sum,F.KI,F.K2O,K_sum
DK0045,Base,Urea,Urea,100,100,kg/ha,kg/ha,kg/ha,,0.46,0,0,64,65.5,46,,20.1,,,0
AG0118,50N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,50,0,,,0,,,0
AG0118,50N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,50,0,,,0,,,0
AG0118,50N + PK,Urea,Urea,,20,kg/ha,% of Total,% of Total,,0.46,0,0,50,0,,,0,,,0
AG0118,100N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,100,0,,,0,,,0
AG0118,100N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,100,0,,,0,,,0
AG0118,100N + PK,Urea,Urea,,20,kg/ha,% of Total,% of Total,,0.46,0,0,100,0,,,0,,,0
AG0118,150N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,150,0,,,0,,,0
AG0118,150N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,150,0,,,0,,,0
AG0118,150N + PK,Urea,Urea,,20,kg/ha,% of Total,% of Total,,0.46,0,0,150,0,,,0,,,0
AG0118,200N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,200,0,,,0,,,0
AG0118,200N + PK,Urea,Urea,,40,kg/ha,% of Total,% of Total,,0.46,0,0,200,0,,,0,,,0
AG0118,200N + PK,Urea,Urea,,20,kg/ha,% of Total,% of Total,,0.46,0,0,200,0,,,0,,,0
AN0099,50 N,Urea,Urea,,66.67,kg/ha,% of Total,% of Total,,0.46,0,0,50,1.092,3.35,,1.1256,,,0
AN0099,75 N,Urea,Urea,,66.67,kg/ha,% of Total,% of Total,,0.46,0,0,75,1.6185,5.02,,1.6683,,,0
AN0099,100 N,Urea,Urea,,66.67,kg/ha,% of Total,% of Total,,0.46,0,0,100,2.1645,6.69,,2.2311,,,0
AN0099,200 N,Urea,Urea,,66.67,kg/ha,% of Total,% of Total,,0.46,0,0,200,4.29,13.28,,4.422,,,0
AN0108,50% Urea + 50% AS + PK,Urea,Urea,,,kg/ha,,,,0.46,0,0,60,0,26.16,60,0,49.8,60,0
AN0108,50% Urea + 50% AS + PK,Urea,Urea,,,kg/ha,,,,0.46,0,0,60,0,26.16,60,0,49.8,60,0
AN0112,Base,Urea,Urea,39.7,20,kg/ha,kg/ha,% of Total,,0.46,0,0,120,74.7455,60,,30.0093,60,,60.009
AN0112,Base,Urea,Urea,39.7,20,kg/ha,kg/ha,% of Total,,0.46,0,0,120,74.7455,60,,30.0093,60,,60.009
AN0112,Base,Urea,Urea,19.8,10,kg/ha,kg/ha,% of Total,,0.46,0,0,120,74.7455,60,,30.0093,60,,60.009
DK0087,Maize fert,Urea,Urea,,,kg/ha,,,,0.46,0,0,100,0,26.16,60,26.1501,49.8,60,49.8
DK0100,N45+P20,Urea,Urea,48.9,50,kg/ha,kg/ha,% of Total,,0.46,0,0,45,22.494,20,,19.9995,,,0
DK0127,Slow release urea + NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0127,Quick release urea + NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0127,Slow release urea + NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0127,Quick release urea + NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0128,Slow release urea+NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0128,Slow release urea+NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0128,Quick release urea+NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
DK0128,Quick release urea+NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,75,0,,,0,,,0
EO0106,T6,Urea,Urea,175,175,kg/ha,kg/ha,kg/ha,,0.46,0,0,96,97.5625,40,,17.5875,,,0
EO0122,Base,Urea,Urea,220,220,kg/ha,kg/ha,kg/ha,,0.46,0,0,101.2,101.2,20,,15.075,49.8,,49.8
NJ0070,Maize fert,Urea,Urea,,,kg/ha,,,,0.46,0,0,110,0,,,0,,,0
AG0139,NPK + Urea,Urea,Urea,,,kg/ha,,,,0.46,0,0,13.7,0,,,0,,,0
AG0139,Manure + NPK + Urea,Urea,Urea,,,kg/ha,,,,0.46,0,0,13.7,0,,,0,,,0
AG0139,Manure + NPK + Urea Twice,Urea,Urea,,,kg/ha,,,,0.46,0,0,27.4,0,,,0,,,0
AG0139,Corralling + NPK + Urea,Urea,Urea,,,kg/ha,,,,0.46,0,0,13.7,0,,,0,,,0
AG0139,NPK +  Urea Twice,Urea,Urea,,,kg/ha,,,,0.46,0,0,27.4,0,,,0,,,0
AG0146,Exp 1 T2,Urea,Urea,,,kg/ha,,,,0.46,0,0,38,0,7,,0,13,,0
AG0146,Exp 1 T3,Urea,Urea,,,kg/ha,,,,0.46,0,0,76,0,13,,0,25,,0
AG0146,Exp 1 T3,Urea,Urea,,,kg/ha,,,,0.46,0,0,76,0,13,,0,25,,0
AG0146,Exp 2 T2,Urea,Urea,,,kg/ha,,,,0.46,0,0,38,0,7,,0,13,,0
AG0146,Exp 2 T3,Urea,Urea,,,kg/ha,,,,0.46,0,0,38,0,7,,0,13,,0
AG0146,Exp 2 T4,Urea,Urea,,,kg/ha,,,,0.46,0,0,76,0,13,,0,25,,0
AG0146,Exp 2 T4,Urea,Urea,,,kg/ha,,,,0.46,0,0,76,0,13,,0,25,,0
AG0146,Exp 2 T5,Urea,Urea,,,kg/ha,,,,0.46,0,0,100,0,13,,0,25,,0
AG0146,Exp 2 T5,Urea,Urea,,,kg/ha,,,,0.46,0,0,100,0,13,,0,25,,0
AG0146,Exp3 NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,133.5,0,40,,0,66.5,,0
AG0146,Exp 4 NPK,Urea,Urea,,,kg/ha,,,,0.46,0,0,100,0,30,,0,50,,0
AG0146,Exp 5 T2,Urea,Urea,,,kg/ha,,,,0.46,0,0,40,0,18,,0,12,,0
NJ0093,N20 + P40 + K20,Urea Phosphate,Urea Phosphate,117.6,,kg/ha,kg/ha,,,0.17,0.44,0,20,19.992,40,,63.3417,20,,20.0196
NJ0093,N90 + P60 +K60,Urea Phosphate,Urea Phosphate,529.4,,kg/ha,kg/ha,,,0.17,0.44,0,90,89.998,60,,232.936,60,,60.009
AN0122,21.2,P (Unspecified),P (Unspecified),33.6,,kg/ha,kg/ha,,,,1,,21.2,0,33.6,,33.6,,,0
