B.Code,field,issue,value,table,parent_table,tabname,master_table,issue_addressed,addressed_by_whom,notes
SP0008,IN.Level.Name/T.Name,Compulsory Product field is blank.,COM-IntCanavalia-CA__COM-IntMaize-CA/NA/VEN-IntMaize-CA__VEN-IntSquash-CA/NA/SJNC-IntBeans-CA__SJNC-IntMaize-CA/NA/SMiT-IntCowpea-CA__SMiT-IntMaize-CA/NA/VIL-IntDolichos-CA__VIL-IntMaize-CA/NA,Data.Out,,,,FALSE,"",""
SP0016,IN.Level.Name/T.Name,Compulsory Product field is blank.,NA/Natural or Bare Fallow,Data.Out,,,,FALSE,"",""
SP0020,IN.Level.Name/T.Name,Compulsory Product field is blank.,InterCoffeeD1-UnprunedCT__InterMacaD1-UnprunedCT/NA/InterCoffeeD2-UnprunedCT__InterMacaD2-UnprunedCT/NA/InterCoffeeD3-UnprunedCT__InterMacaD3-UnprunedCT/NA/InterCoffeeD1-SideprunedCT__InterMacaD1-SideprunedCT/NA/InterCoffeeD2-SideprunedCT__InterMacaD2-SideprunedCT/NA/InterCoffeeD3-SideprunedCT__InterMacaD3-SideprunedCT/NA/InterCoffeeD1-Stumped__InterMacaD1-Stumped/NA/InterCoffeeD2-Stumped__InterMacaD2-Stumped/NA/InterCoffeeD3-Stumped__InterMacaD3-Stumped/NA/InterCoffeeD1-Removal__InterMacaD1-Removal/NA/InterCoffeeD2-Removal__InterMacaD2-Removal/NA/InterCoffeeD3-Removal__InterMacaD3-Removal/NA,Data.Out,,,,FALSE,"",""
SP0036,IN.Level.Name/T.Name,Compulsory Product field is blank.,InterMaize80..InterMaize120..InterMaize160__InterSoybean80..InterSoybean120..InterSoybean160/NA,Data.Out,,,,FALSE,"",""
SP0037,IN.Level.Name/T.Name,Compulsory Product field is blank.,NA/0N-WAzo-LM/NA/50N-WAzo-LM/NA/100N-WAzo-LM/NA/150N-WAzo-LM/NA/200N-WAzo-LM/NA/0N-WAzo-SI/NA/50N-WAzo-SI/NA/100N-WAzo-SI/NA/150N-WAzo-SI/NA/200N-WAzo-SI,Data.Out,,,,FALSE,"",""
SP0048,IN.Level.Name/T.Name,Compulsory Product field is blank.,IG17-C-ILM-F0__IG17-IC-LM-F0/NA/IG17-C-IHM-F0__IG17-IC-HM-F0/NA/IG17-C-ILM-FM__IG17-IC-LM-FM/NA/IG17-C-IHM-FM__IG17-IC-HM-FM/NA/IG18-C-ILM-F0__IG18-IC-LM-F0/NA/IG18-C-IHM-F0__IG18-IC-HM-F0/NA/IG18-C-ILM-FM__IG18-IC-LM-FM/NA/IG18-C-IHM-FM__IG18-IC-HM-FM/NA,Data.Out,,,,FALSE,"",""
AC0168,T.Name,Missing value in compulsory field Site.ID.,CCF3,Data.Out,,,,FALSE,"",""
CJ0082,T.Name,Missing value in compulsory field Time.,NA,Data.Out,,,,FALSE,"",""
JO0013,T.Name,Missing value in compulsory field Time.,Croton- 3/Croton-5/Croton-7/Cordia -3/Cordia-5/Cordia-7/Control,Data.Out,,,,FALSE,"",""
JO0036,T.Name,Missing value in compulsory field Time.,HGAF-Coffee-0-30cm..HGAF-Khat-0-30cm..HGAF-Ensete-0-30cm..HGAF-Banana-0-30cm..HGAF-Avocado-0-30cm/CAFS-0-30cm/HGAF-Coffee-30-60cm..HGAF-Khat-30-60cm..HGAF-Ensete-30-60cm..HGAF-Banana-30-60cm..HGAF-Avocado-30-60cm/CAFS-30-60cm/HGAF-Coffee..HGAF-Khat..HGAF-Ensete..HGAF-Banana..HGAF-Avocado/CAFS,Data.Out,,,,FALSE,"",""
JO0084,T.Name,Missing value in compulsory field Time.,NA,Data.Out,,,,FALSE,"",""
JO0137,T.Name,Missing value in compulsory field Time.,PS-4-20-0N..PS-6-20-ON..PS-8-20-0N..PS-10-20-0N/PS-4-20-50N..PS-6-20-50N..PS-8-20-50N..PS-10-20-50N/PS-4-20-100N..PS-6-20-100N..PS-8-20-100N..PS-10-20-100N/PS-4-20-150N..PS-6-20-150N..PS-8-20-150N..PS-10-20-150N/PS-10-20-0N/PS-8-20-0N/PS-6-20-ON/PS-4-20-0N/PS-10-20-50N/PS-8-20-50N/PS-6-20-50N/PS-4-20-50N/PS-10-20-100N/PS-8-20-100N/PS-6-20-100N/PS-4-20-100N/PS-10-20-150N/PS-8-20-150N/PS-6-20-150N/PS-4-20-150N,Data.Out,,,,FALSE,"",""
JO0155,T.Name,Missing value in compulsory field Time.,ORG/CON,Data.Out,,,,FALSE,"",""
JO0170,T.Name,Missing value in compulsory field Time.,D-100/S-100/D-80/S-80/D-60/S-60,Data.Out,,,,FALSE,"",""
JO0171,T.Name,Missing value in compulsory field Time.,F. A-OUT..F. A-IN/Z. S-OUT..Z. S-IN/A. S-OUT..A. S-IN/B. A-OUT..B. A-IN/C. A-OUT..C. A-IN/C. M-OUT..C. M-IN/F.A-1/3/F.A-2/3/F.A-EDGE/Z.S-1/3/Z.S-2/3/Z.S-EDGE/A.S-1/3/A.S-2/3/A.S-EDGE/B.A-1/3/B.A-2/3/B.A-EDGE/C.A-1/3/C.A-2/3/C.A-EDGE/C.M-1/3/C.M-2/3/C.M-EDGE/F. A-IN/F. A-OUT/Z. S-IN/Z. S-OUT/A. S-IN/A. S-OUT/B. A-IN/B. A-OUT/C. A-IN/C. A-OUT/C. M-IN/C. M-OUT,Data.Out,,,,FALSE,"",""
JO0176,T.Name,Missing value in compulsory field Time.,90-MONO-DES/90-INT-DES/90-INT-Sativa/90-INT-Lana/90-INT-Gebisa/90-INT-Lalisa/120-MONO-DES/120-INT-DES/120-INT-Sativa/120-INT-Lana/120-INT-Lalisa/120-INT-Gebisa,Data.Out,,,,FALSE,"",""
JO0180,T.Name,Missing value in compulsory field Time.,Odumase A/Banso B,Data.Out,,,,FALSE,"",""
JO0208,T.Name,Missing value in compulsory field Time.,Control-4WKS/20Tm-4WKS/40Tm-4WKS/100NPKzn-4WKS/150NPKzn-4WKS/Control-5WKS/20Tm-5WKS/40Tm-5WKS/100NPKzn-5WKS/150NPKzn-5WKS/Control-6WKS/20Tm-6WKS/40Tm-6WKS/100NPKzn-6WKS/150NPKzn-6WKS,Data.Out,,,,FALSE,"",""
JS0204,T.Name,Missing value in compulsory field Time.,INT-GRAV/INT-GL/INT-P/INT-CARD/MONO-GRAV/MONO-GL/MONO-P/MONO-CARD/NA,Data.Out,,,,FALSE,"",""
NN0373,T.Name,Missing value in compulsory field Time.,PWL/MPL/PAF/TLCL,Data.Out,,,,FALSE,"",""
CJ0082,T.Name,Missing value in compulsory field Out.Code.Joined.,SB+NPK+Biochar/SB+NPK/SB+Biochar/Maize+SB+NPK+Biochar/Maize+SB+NPK/Maize+SB+Biochar/Maize+NPK+Biochar/Maize+NPK/Maize+Biochar/CW+NPK+Biochar/CW+NPK/CW+Biochar/NA,Data.Out,,,,FALSE,"",""
JO0084,T.Name,Missing value in compulsory field Out.Code.Joined.,NA,Data.Out,,,,FALSE,"",""
CJ0082,T.Name,Missing value in compulsory field ED.Mean.T.,NA,Data.Out,,,,FALSE,"",""
JO0084,T.Name,Missing value in compulsory field ED.Mean.T.,NA,Data.Out,,,,FALSE,"",""
CJ0026,ED.Mean.T,Non-numeric value in numeric field.,_O.96,Data.Out,,,,FALSE,"",""
CJ0049,ED.Mean.T,Non-numeric value in numeric field.,6()6.6,Data.Out,,,,FALSE,"",""
JO0082,ED.Mean.T,Non-numeric value in numeric field.,1A8,Data.Out,,,,FALSE,"",""
JO0082,ED.Mean.T,Non-numeric value in numeric field.,ı.50,Data.Out,,,,FALSE,"",""
JO0085,ED.Mean.T,Non-numeric value in numeric field.,73.19.,Data.Out,,,,FALSE,"",""
JO0085,ED.Mean.T,Non-numeric value in numeric field.,134-61,Data.Out,,,,FALSE,"",""
JO0085,ED.Mean.T,Non-numeric value in numeric field.,203.20.,Data.Out,,,,FALSE,"",""
JO0001,ED.Mean.T,Non-numeric value in numeric field.,3.636.ı,Data.Out,,,,FALSE,"",""
JO0138,ED.Mean.T,Non-numeric value in numeric field.,2.289.61,Data.Out,,,,FALSE,"",""
CJ0185,ED.Mean.T,Non-numeric value in numeric field.,–33.91,Data.Out,,,,FALSE,"",""
JO0188,ED.Mean.T,Non-numeric value in numeric field.,12.53.22,Data.Out,,,,FALSE,"",""
JO0188,ED.Mean.T,Non-numeric value in numeric field.,12.274.8,Data.Out,,,,FALSE,"",""
JO0033,ED.Sample.End,Non-numeric value in numeric field.,30-2-2019,Data.Out,,,,FALSE,"",""
JO0033,ED.Sample.End,Non-numeric value in numeric field.,30/2/2019,Data.Out,,,,FALSE,"",""
SP0036,ED.Sample.End,Non-numeric value in numeric field.,1/31/2018,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
AC0047.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2029-10-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-11,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-18,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-25,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-14,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-21,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-06-28,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-05,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-12,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-19,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-07-26,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-02,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-09,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-16,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-23,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-08-30,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-06,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-13,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-20,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-09-27,Data.Out,,,,FALSE,"",""
JS0334.2,ED.Sample.End,Date not between 1950-01-01 & 2023-12-01,2025-10-04,Data.Out,,,,FALSE,"",""
